verteberates	homo_sapiens	GRCh38	current	index-all	default
verteberates	homo_sapiens	GRCh37	release-75	no-index	not-default
verteberates	rattus_norvegicus	mRatBN7.2	current	index-all	not-default
verteberates	rattus_norvegicus	Rnor_6.0	release-104	index-small	not-default
verteberates	mus_musculus	GRCm39	current	index-all	not-default
verteberates	mus_musculus	GRCm38	release-102	index-small	not-default
verteberates	felis_catus	Felis_catus_9.0	current	index-hisat2	not-default
verteberates	felis_catus	Felis_catus_8.0	release-92	no-index	not-default
verteberates	bos_taurus	ARS-UCD1.2	current	index-hisat2	not-default
verteberates	bos_taurus	UMD3.1	release-94	no-index	not-default
verteberates	sus_scrofa	Sscrofa11.1	current	index-hisat2	not-default
verteberates	sus_scrofa	Sscrofa10.2	release-88	no-index	not-default
verteberates	ovis_aries	Oar_v3.1	current	index-hisat2	not-default
verteberates	canis_lupus_familiaris	ROS_Cfam_1.0	current	index-hisat2	not-default
verteberates	canis_lupus_familiaris	CanFam3.1	release-104	no-index	not-default
verteberates	gallus_gallus	bGalGal1.mat.broiler.GRCg7b	current	index-hisat2	not-default
verteberates	gallus_gallus	GRCg6a	release-106	no-index	not-default
verteberates	gasterosteus_aculeatus	BROADS1	current	index-hisat2	not-default
verteberates	drosophila_melanogaster	BDGP6.32	current	index-hisat2	not-default
verteberates	drosophila_melanogaster	BDGP6	release-95	no-index	not-default
verteberates	danio_rerio	GRCz11	current	index-hisat2	not-default
verteberates	danio_rerio	GRCz10	release-91	no-index	not-default
plants	oryza_sativa	IRGSP-1.0	current	index-hisat2	not-default
plants	vitis_vinifera	PN40024.v4	current	index-hisat2	not-default
plants	vitis_vinifera	12X	release-52	no-index	not-default
plants	medicago_truncatula	MedtrA17_4.0	current	index-hisat2	not-default
plants	populus_trichocarpa	Pop_tri_v3	current	index-hisat2	not-default
plants	populus_trichocarpa	JGI2.0	release-39	no-index	not-default
plants	arabidopsis_thaliana	TAIR10	current	index-hisat2	not-default
plants	solanum_tuberosum	SolTub_3.0	current	index-hisat2	not-default
plants	glycine_max	Glycine_max_v2.1	current	index-hisat2	not-default
plants	glycine_max	Glycine_max_v2.0	release-41	no-index	not-default
fungi	schizosaccharomyces_pombe	ASM294v2	current	index-hisat2	not-default
